1,Redhold,african,expensive,greenwich village,22:09,3.0,false
2,Daltfresh,latin american,cheap,harlem,8:52,0.2,false
3,Sonsing,middle eastern,cheap,soho,22:34,3.9,false
4,Alpha,american,expensive,greenwich village,20:46,0.1,false
5,Stringtough,asian,medium,williamsburg,7:04,2.1,false
6,Opela,italian,medium,greenwich village,17:30,2.8,false
7,Konklux,middle eastern,expensive,soho,22:42,0.9,false
8,Kanlam,latin american,medium,tribeca,8:01,4.4,false
9,Opela,asian,medium,upper east side,19:33,3.7,false
10,Tampflex,latin american,cheap,greenwich village,2:33,4.5,true
11,Gembucket,latin american,expensive,greenwich village,7:42,2.5,true
12,Viva,american,expensive,williamsburg,8:53,4.6,true
13,Alphazap,italian,cheap,soho,15:55,2.7,true
14,Konklux,asian,cheap,flatiron,3:56,3.3,true
15,Zaam-Dox,italian,cheap,flatiron,15:08,0.0,false
16,Y-Solowarm,italian,expensive,tribeca,20:58,4.9,false
17,Zamit,middle eastern,cheap,upper east side,13:56,3.0,true
18,Voyatouch,french,cheap,lower east side,12:00,5.0,true
19,Latlux,asian,cheap,williamsburg,22:34,4.7,true
20,Mat Lam Tam,italian,medium,greenwich village,13:48,3.4,false
21,Biodex,french,medium,tribeca,19:19,3.2,false
22,Trippledex,middle eastern,cheap,upper east side,16:44,2.7,true
23,Solarbreeze,asian,expensive,lower east side,0:51,3.8,true
24,Domainer,african,cheap,upper east side,4:55,2.0,true
25,Tampflex,asian,expensive,harlem,18:18,4.1,true
26,Matsoft,american,cheap,lower east side,5:01,4.3,false
27,Cookley,african,cheap,soho,23:34,1.7,false
28,Gembucket,american,medium,greenwich village,6:57,0.9,true
29,Matsoft,latin american,cheap,williamsburg,20:00,0.0,true
30,Cardify,latin american,expensive,flatiron,20:45,2.1,false
31,Cardguard,french,medium,soho,6:09,2.7,false
32,Y-Solowarm,middle eastern,expensive,greenwich village,14:17,3.0,false
33,Zathin,italian,medium,lower east side,11:01,3.7,false
34,Zontrax,middle eastern,medium,greenwich village,5:18,2.7,false
35,Home Ing,latin american,medium,upper east side,0:18,0.8,true
36,Bitchip,american,expensive,tribeca,19:13,1.1,false
37,Vagram,american,medium,greenwich village,10:59,3.0,true
38,Bamity,asian,cheap,upper east side,3:35,4.9,false
39,Zathin,african,expensive,tribeca,9:39,3.3,true
40,Voltsillam,middle eastern,expensive,tribeca,20:45,4.9,true
41,Zaam-Dox,italian,medium,upper east side,2:06,2.8,true
42,Ronstring,italian,cheap,upper east side,9:46,0.6,false
43,Veribet,middle eastern,expensive,lower east side,2:25,2.1,false
44,Y-Solowarm,african,cheap,soho,8:49,0.9,true
45,Veribet,asian,medium,greenwich village,9:51,1.3,true
46,Namfix,italian,expensive,williamsburg,10:29,4.2,false
47,Rank,middle eastern,medium,williamsburg,12:09,1.4,true
48,Transcof,latin american,medium,harlem,15:55,1.6,false
49,Greenlam,african,cheap,tribeca,8:55,0.5,false
50,Fintone,italian,medium,flatiron,2:24,3.2,false
51,Alpha,italian,expensive,lower east side,23:10,0.4,false
52,Tres-Zap,asian,expensive,flatiron,22:21,4.8,true
53,Temp,asian,expensive,lower east side,3:55,4.1,false
54,Alpha,asian,cheap,flatiron,18:52,1.9,true
55,Solarbreeze,middle eastern,medium,harlem,14:01,2.9,false
56,Sub-Ex,latin american,expensive,lower east side,7:28,2.9,true
57,Toughjoyfax,french,cheap,harlem,12:05,4.7,false
58,Flexidy,french,expensive,tribeca,9:16,0.9,false
59,Viva,latin american,expensive,greenwich village,22:15,0.3,true
60,Bitwolf,french,cheap,tribeca,22:42,4.3,true
61,Tin,latin american,medium,flatiron,17:37,0.5,false
62,It,american,expensive,tribeca,14:57,1.1,true
63,Cardguard,french,cheap,harlem,20:04,1.0,true
64,Bamity,asian,medium,greenwich village,13:57,1.8,false
65,Zoolab,latin american,medium,williamsburg,7:27,0.8,false
66,Konklab,middle eastern,medium,greenwich village,17:33,2.7,true
67,Bitchip,french,cheap,harlem,8:01,1.1,true
68,Ronstring,french,medium,williamsburg,14:09,2.6,false
69,Temp,latin american,medium,soho,19:23,3.5,false
70,Opela,american,medium,tribeca,0:25,0.3,true
71,Bitchip,american,expensive,soho,5:19,1.7,true
72,Transcof,italian,expensive,flatiron,12:12,4.0,true
73,Transcof,middle eastern,expensive,tribeca,15:15,3.1,true
74,Treeflex,american,expensive,lower east side,15:33,2.6,false
75,Andalax,italian,cheap,flatiron,2:53,3.7,true
76,Bigtax,american,medium,williamsburg,3:23,0.1,false
77,Zaam-Dox,latin american,medium,tribeca,7:15,1.6,true
78,Redhold,african,expensive,harlem,10:15,2.1,false
79,Tempsoft,african,cheap,lower east side,10:59,0.3,true
80,Pannier,african,expensive,harlem,2:20,4.0,false
81,Tresom,latin american,medium,williamsburg,11:32,3.3,false
82,Job,african,cheap,greenwich village,11:19,1.8,false
83,Toughjoyfax,asian,cheap,tribeca,18:10,4.7,true
84,Trippledex,american,medium,lower east side,6:54,0.4,true
85,Flowdesk,latin american,expensive,tribeca,16:30,4.2,true
86,Asoka,african,cheap,greenwich village,14:37,2.6,false
87,Mat Lam Tam,african,cheap,flatiron,19:25,2.7,true
88,Quo Lux,italian,cheap,harlem,16:45,2.3,false
89,Solarbreeze,latin american,cheap,tribeca,23:45,2.9,false
90,Stringtough,american,expensive,williamsburg,19:53,1.0,false
91,Pannier,african,medium,harlem,9:15,4.8,true
92,Gembucket,african,cheap,flatiron,12:01,1.1,true
93,Sub-Ex,french,expensive,upper east side,0:23,2.1,false
94,Lotlux,american,cheap,flatiron,10:55,1.0,true
95,Cookley,french,cheap,williamsburg,1:13,2.0,true
96,Matsoft,african,cheap,greenwich village,18:23,1.5,false
97,Greenlam,middle eastern,expensive,harlem,19:04,3.3,false
98,Cookley,italian,expensive,greenwich village,13:52,1.0,false
99,Keylex,french,expensive,upper east side,3:28,3.4,true
100,Cardify,french,medium,williamsburg,2:05,3.5,false
101,Ronstring,asian,cheap,williamsburg,10:24,5.0,false
102,Latlux,american,medium,williamsburg,3:20,3.0,true
103,Mat Lam Tam,latin american,medium,williamsburg,8:20,1.2,false
104,Ronstring,asian,cheap,harlem,1:19,2.4,false
105,Andalax,italian,medium,williamsburg,5:03,0.4,true
106,Prodder,middle eastern,medium,lower east side,14:55,4.7,false
107,Zontrax,middle eastern,cheap,harlem,8:10,2.0,true
108,Pannier,asian,medium,greenwich village,10:44,4.3,true
109,Treeflex,middle eastern,medium,lower east side,3:59,0.2,true
110,Ronstring,middle eastern,expensive,flatiron,20:36,2.5,true
111,Fintone,american,expensive,soho,16:26,0.4,false
112,Latlux,french,medium,harlem,3:41,4.5,true
113,Span,middle eastern,cheap,tribeca,21:36,1.2,true
114,Greenlam,latin american,medium,williamsburg,23:40,1.1,true
115,Quo Lux,african,medium,williamsburg,2:14,1.3,true
116,Zontrax,american,expensive,soho,2:53,2.4,true
117,Toughjoyfax,african,cheap,soho,10:47,1.4,false
118,Bitchip,latin american,cheap,greenwich village,15:21,3.2,true
119,Zathin,middle eastern,cheap,harlem,18:32,1.5,false
120,Job,middle eastern,medium,harlem,17:00,3.7,true
121,Zamit,asian,expensive,tribeca,5:02,4.4,false
122,Lotstring,french,cheap,upper east side,17:23,2.1,false
123,Daltfresh,french,cheap,tribeca,4:14,2.4,false
124,Lotlux,french,medium,williamsburg,15:51,1.6,true
125,Vagram,american,expensive,flatiron,16:56,4.5,false
126,Wrapsafe,french,expensive,lower east side,0:40,2.9,false
127,Voltsillam,asian,expensive,upper east side,22:08,0.2,true
128,Bytecard,italian,cheap,harlem,13:41,0.0,false
129,Zontrax,african,cheap,greenwich village,1:40,0.2,true
130,Flowdesk,american,medium,greenwich village,3:55,2.5,true
131,Greenlam,french,cheap,soho,14:12,1.1,false
132,Bitchip,italian,medium,greenwich village,10:00,0.1,true
133,Kanlam,asian,cheap,flatiron,2:56,1.9,true
134,Lotlux,french,expensive,greenwich village,16:14,1.0,true
135,Subin,asian,cheap,williamsburg,22:23,1.5,false
136,Tampflex,latin american,cheap,lower east side,1:35,3.1,true
137,Cardify,french,expensive,soho,6:06,4.1,true
138,Bitchip,middle eastern,cheap,soho,1:14,4.1,true
139,Mat Lam Tam,american,medium,flatiron,15:08,0.5,false
140,Alpha,american,medium,soho,0:24,2.5,true
141,Bitwolf,middle eastern,cheap,tribeca,9:56,4.0,false
142,Subin,middle eastern,expensive,upper east side,8:52,1.6,true
143,Zaam-Dox,american,expensive,soho,12:32,1.8,true
144,Tres-Zap,french,medium,soho,11:20,1.2,true
145,Daltfresh,american,cheap,harlem,16:54,1.9,true
146,Zathin,middle eastern,expensive,lower east side,10:09,4.4,false
147,Home Ing,american,medium,harlem,22:42,0.9,false
148,Temp,african,cheap,lower east side,8:18,2.0,false
149,Treeflex,latin american,cheap,soho,10:37,1.1,false
150,Lotlux,latin american,expensive,soho,11:37,3.0,false
151,Tampflex,african,medium,greenwich village,5:18,3.5,true
152,Tempsoft,asian,cheap,lower east side,13:35,0.2,false
153,Stringtough,african,medium,williamsburg,6:28,3.1,true
154,Wrapsafe,french,medium,tribeca,22:22,4.6,true
155,Alphazap,american,expensive,flatiron,6:01,3.1,false
156,Bytecard,latin american,expensive,upper east side,12:55,2.8,false
157,Span,asian,cheap,lower east side,22:18,3.7,false
158,Daltfresh,french,expensive,upper east side,12:34,1.3,false
159,Bitwolf,african,medium,tribeca,0:15,3.4,false
160,Alphazap,asian,medium,flatiron,6:59,3.9,true
161,Wrapsafe,french,expensive,greenwich village,16:51,2.0,true
162,Flexidy,italian,expensive,upper east side,17:09,3.3,false
163,Bitwolf,african,expensive,tribeca,14:26,0.3,true
164,Cookley,french,medium,greenwich village,23:19,3.0,false
165,Otcom,american,medium,harlem,17:51,3.2,true
166,Flowdesk,italian,expensive,soho,4:46,1.7,false
167,Voltsillam,asian,cheap,soho,15:23,4.8,false
168,Veribet,middle eastern,medium,upper east side,16:37,3.8,false
169,Tresom,latin american,medium,tribeca,3:17,1.8,false
170,Zaam-Dox,american,medium,tribeca,0:07,1.9,false
171,Flexidy,italian,medium,williamsburg,6:23,0.8,true
172,Alpha,asian,medium,tribeca,10:12,4.6,true
173,Zaam-Dox,african,expensive,tribeca,11:53,3.9,false
174,Lotstring,middle eastern,medium,soho,18:58,3.3,false
175,Konklux,latin american,medium,soho,16:26,1.3,true
176,Toughjoyfax,middle eastern,medium,upper east side,5:18,1.7,true
177,Zathin,american,cheap,soho,2:08,1.1,true
178,Otcom,african,cheap,lower east side,14:05,1.7,true
179,Tampflex,african,cheap,lower east side,10:48,4.3,false
180,Veribet,latin american,cheap,flatiron,20:21,0.6,false
181,Stim,italian,expensive,flatiron,14:34,2.9,true
182,Zontrax,middle eastern,expensive,harlem,14:12,2.2,false
183,Matsoft,asian,medium,tribeca,5:58,4.5,true
184,Konklux,latin american,expensive,upper east side,4:36,0.4,true
185,Cardify,middle eastern,expensive,greenwich village,12:33,0.9,true
186,Kanlam,asian,medium,greenwich village,7:08,1.4,false
187,Quo Lux,asian,cheap,lower east side,0:28,0.7,true
188,Ronstring,african,expensive,soho,16:32,3.6,true
189,Y-find,american,cheap,williamsburg,1:05,1.4,false
190,Transcof,african,expensive,greenwich village,7:01,0.2,false
191,Toughjoyfax,american,medium,flatiron,3:47,1.7,false
192,Tresom,middle eastern,medium,greenwich village,7:37,0.4,false
193,Bytecard,african,expensive,upper east side,7:07,2.2,false
194,Veribet,african,medium,flatiron,5:46,3.2,true
195,Holdlamis,african,medium,upper east side,5:41,2.8,true
196,Zontrax,latin american,expensive,tribeca,18:15,4.9,false
197,Domainer,african,cheap,harlem,2:48,4.3,false
198,Domainer,african,medium,upper east side,0:03,0.5,true
199,Biodex,asian,expensive,tribeca,1:48,1.0,false
200,Voltsillam,american,expensive,williamsburg,14:42,2.2,false
